b	ㄝ
bn	誒
k	ㄦ
k	兒
km	爾
km	耳
km	洱
km	餌
km	邇
km	珥
km	駬
km	薾
km	鉺
km	峏
km	尒
km	栮
km	㚷
km	㢽
km	䋙
km	䌺
km	尓
km	尔
km	迩
km	饵
kn	二
kn	貳
kn	佴
kn	刵
kn	咡
kn	樲
kn	聏
kn	毦
kn	眲
kn	衈
kn	㒃
kn	㛅
kn	䎶
kn	䏪
kn	䣵
kn	弍
kn	弐
kn	誀
kn	貮
kn	贰
kn	铒
kl	兒
kl	而
kl	洏
kl	耏
kl	胹
kl	輀
kl	侕
kl	栭
kl	陑
kl	鮞
kl	檽
kl	聏
kl	荋
kl	唲
kl	鴯
kl	㖇
kl	㜨
kl	㧫
kl	㮕
kl	䋩
kl	䎟
kl	䎠
kl	䮘
kl	児
kl	袻
kl	轜
kl	隭
kl	髵
kl	鲕
kl	鸸
f	歐
f	甌
f	毆
f	嘔
f	謳
f	鷗
f	ㄡ
f	慪
f	區
f	熰
f	蓲
f	櫙
f	呕
f	欧
f	殴
f	瓯
f	眍
f	瞘
f	讴
f	鴎
f	鸥
fm	偶
fm	藕
fm	嘔
fm	耦
fm	吘
fm	湡
fm	腢
fm	蕅
fm	㒖
fm	㼴
fm	䚆
fm	䯚
fm	塸
fn	嘔
fn	漚
fn	噢
fn	㛏
fn	䌂
fn	䌔
fn	怄
fn	沤
fl	吽
j	鞥
j	ㄥ
g	安
g	鞍
g	庵
g	諳
g	氨
g	銨
g	胺
g	ㄢ
g	鵪
g	媕
g	侒
g	盦
g	峖
g	痷
g	腤
g	萻
g	韽
g	垵
g	盫
g	葊
g	蓭
g	誝
g	谙
g	铵
g	鞌
g	鶕
g	鹌
gm	俺
gm	唵
gm	晻
gm	堷
gm	㜝
gm	㽢
gm	䁆
gm	䅖
gm	埯
gm	揞
gm	罯
gm	隌
gn	暗
gn	案
gn	岸
gn	按
gn	黯
gn	菴
gn	闇
gn	犴
gn	豻
gn	匼
gn	桉
gn	洝
gn	荌
gn	錌
gn	匎
gn	婩
gn	儑
gn	㟁
gn	㱘
gn	㸩
gn	䅁
gn	䎏
gn	䎨
gn	䬓
gn	䮗
gn	䯥
gn	堓
gn	鮟
gn	黬
gl	雸
gl	玵
gl	啽
gl	䜙
A	ㄅ
Aj	崩
Aj	繃
Aj	伻
Aj	弸
Aj	祊
Aj	閍
Aj	塴
Aj	絣
Aj	嘣
Aj	嵭
Aj	綳
Aj	绷
Ajm	菶
Ajm	玤
Ajm	琫
Ajm	埲
Ajm	誁
Ajm	㑟
Ajm	䋽
Ajm	䙀
Ajm	䩬
Ajm	䭰
Ajm	䳞
Ajm	鞛
Ajn	蹦
Ajn	搒
Ajn	洴
Ajn	迸
Ajn	跰
Ajn	泵
Ajn	㱶
Ajn	㷯
Ajn	䨻
Ajn	槰
Ajn	逬
Ajn	鏰
Ajn	镚
Ajl	甭
Ag	班
Ag	般
Ag	搬
Ag	斑
Ag	頒
Ag	扳
Ag	瘢
Ag	虨
Ag	斒
Ag	攽
Ag	褩
Ag	朌
Ag	癍
Ag	螌
Ag	辬
Ag	颁
Agm	板
Agm	版
Agm	闆
Agm	阪
Agm	舨
Agm	昄
Agm	鈑
Agm	粄
Agm	蝂
Agm	㩯
Agm	㸞
Agm	㺜
Agm	䉽
Agm	䬳
Agm	坂
Agm	岅
Agm	钣
Agn	半
Agn	辦
Agn	伴
Agn	扮
Agn	拌
Agn	絆
Agn	姅
Agn	瓣
Agn	爿
Agn	怑
Agn	湴
Agn	鉡
Agn	靽
Agn	㚘
Agn	㪵
Agn	䕰
Agn	办
Agn	秚
Agn	绊
AY	八
AY	捌
AY	巴
AY	疤
AY	芭
AY	笆
AY	粑
AY	叭
AY	扒
AY	豝
AY	吧
AY	仈
AY	朳
AY	哵
AY	岜
AY	玐
AY	羓
AY	釟
AY	鲃
AYm	把
AYm	靶
AYm	鈀
AYm	㞎
AYm	钯
AYn	罷
AYn	爸
AYn	霸
AYn	壩
AYn	耙
AYn	弝
AYn	灞
AYn	伯
AYn	猈
AYn	㖠
AYn	㶚
AYn	䃻
AYn	䆉
AYn	䇑
AYn	䎬
AYn	䎱
AYn	䥯
AYn	䩗
AYn	䩻
AYn	䰾
AYn	䱝
AYn	坝
AYn	垻
AYn	欛
AYn	罢
AYn	覇
AYl	拔
AYl	跋
AYl	鈸
AYl	魃
AYl	茇
AYl	鼥
AYl	軷
AYl	犮
AYl	菝
AYl	胈
AYl	詙
AYl	㔜
AYl	㧊
AYl	䟦
AYl	䳁
AYl	䳊
AYl	叐
AYl	坺
AYl	墢
AYl	妭
AYl	抜
AYl	炦
AYl	秡
AYl	钹
AYl	颰
AYl	馛
AYo	吧
AYo	罷
AYo	琶
AYo	杷
Ac	掰
Acm	百
Acm	擺
Acm	佰
Acm	襬
Acm	粨
Acm	捭
Acm	矲
Acm	絔
Acm	㗗
Acm	㼣
Acm	䙓
Acm	摆
Acn	敗
Acn	拜
Acn	唄
Acn	粺
Acn	椑
Acn	稗
Acn	矲
Acn	庍
Acn	㗑
Acn	㠔
Acn	䒔
Acn	䢙
Acn	䴽
Acn	呗
Acn	拝
Acn	蛽
Acn	贁
Acn	败
Acl	白
Acl	㼟
Acl	㿟
Acl	䳆
Ai	幫
Ai	邦
Ai	傍
Ai	梆
Ai	鞤
Ai	縍
Ai	垹
Ai	帮
Ai	幇
Ai	幚
Ai	捠
Ai	浜
Ai	邫
Aim	榜
Aim	綁
Aim	牓
Aim	膀
Aim	氆
Aim	㔙
Aim	㮄
Aim	䟺
Aim	绑
Ain	棒
Ain	磅
Ain	謗
Ain	蚌
Ain	傍
Ain	鎊
Ain	旁
Ain	甏
Ain	塝
Ain	艕
Ain	㭋
Ain	㯁
Ain	㾦
Ain	䂜
Ain	䎧
Ain	䖫
Ain	䧛
Ain	䰷
Ain	稖
Ain	蜯
Ain	谤
Ain	镑
AZ	玻
AZ	撥
AZ	剝
AZ	菠
AZ	缽
AZ	嶓
AZ	砵
AZ	播
AZ	般
AZ	碆
AZ	袚
AZ	襏
AZ	鱍
AZ	啵
AZ	柭
AZ	蹳
AZ	岥
AZ	剥
AZ	拨
AZ	癶
AZ	盋
AZ	鉢
AZ	钵
AZ	驋
AZ	髉
AZ	鮁
AZ	鲅
AZm	跛
AZm	簸
AZm	蚾
AZm	箥
AZm	駊
AZn	播
AZn	擘
AZn	簸
AZn	亳
AZn	薜
AZn	譒
AZn	薄
AZn	檗
AZn	蘗
AZn	繴
AZn	挀
AZn	㖕
AZn	孹
AZn	疈
AZl	伯
AZl	博
AZl	柏
AZl	泊
AZl	勃
AZl	搏
AZl	渤
AZl	駁
AZl	白
AZl	薄
AZl	脖
AZl	帛
AZl	舶
AZl	箔
AZl	荸
AZl	蔔
AZl	膊
AZl	鈸
AZl	餑
AZl	鉑
AZl	欂
AZl	鵓
AZl	踣
AZl	浡
AZl	襮
AZl	踄
AZl	鎛
AZl	駮
AZl	僰
AZl	餺
AZl	髆
AZl	桲
AZl	謈
AZl	檗
AZl	馞
AZl	胉
AZl	挬
AZl	猼
AZl	葧
AZl	鋍
AZl	懪
AZl	簙
AZl	礡
AZl	鑮
AZl	郣
AZl	鸔
AZl	糪
AZl	㗘
AZl	㝿
AZl	㟑
AZl	㧳
AZl	㩧
AZl	㩭
AZl	㪍
AZl	㬍
AZl	㬧
AZl	㱟
AZl	㴾
AZl	㶿
AZl	㹀
AZl	䂍
AZl	䊿
AZl	䍨
AZl	䍸
AZl	䑈
AZl	䒄
AZl	䗚
AZl	䙏
AZl	䞳
AZl	䟛
AZl	䢌
AZl	䢪
AZl	䥬
AZl	䪇
AZl	䪬
AZl	䫊
AZl	䬪
AZl	䭦
AZl	䭯
AZl	䮀
AZl	䮂
AZl	䯋
AZl	䰊
AZl	䶈
AZl	侼
AZl	嶏
AZl	愽
AZl	敀
AZl	栢
AZl	泺
AZl	煿
AZl	牔
AZl	犻
AZl	礴
AZl	艊
AZl	苩
AZl	袯
AZl	铂
AZl	镈
AZl	饽
AZl	馎
AZl	驳
AZl	鮊
AZl	鲌
AZl	鹁
AW	逋
AW	晡
AW	餔
AW	峬
AW	鵏
AW	庯
AWm	補
AWm	捕
AWm	埔
AWm	哺
AWm	卜
AWm	鳪
AWm	獛
AWm	㙛
AWm	㨐
AWm	䀯
AWm	䋠
AWm	䒈
AWm	䪁
AWm	䪔
AWm	卟
AWm	补
AWn	不
AWn	部
AWn	布
AWn	步
AWn	怖
AWn	佈
AWn	簿
AWn	埠
AWn	鈽
AWn	蔀
AWn	篰
AWn	捗
AWn	咘
AWn	㘵
AWn	㚴
AWn	㳍
AWn	㻉
AWn	㾟
AWn	䊇
AWn	䍌
AWn	䏽
AWn	䑰
AWn	䝵
AWn	䬏
AWn	䳝
AWn	䴝
AWn	䴺
AWn	埗
AWn	悑
AWn	歨
AWn	歩
AWn	荹
AWn	郶
AWn	钚
AWn	钸
AWn	餢
AWn	鮬
AWl	不
Ae	包
Ae	胞
Ae	苞
Ae	褒
Ae	枹
Ae	笣
Ae	蕔
Ae	孢
Ae	勹
Ae	襃
Ae	闁
Ae	骲
Aem	保
Aem	寶
Aem	飽
Aem	堡
Aem	褓
Aem	葆
Aem	鴇
Aem	怉
Aem	駂
Aem	鳵
Aem	媬
Aem	㙅
Aem	㲏
Aem	㻄
Aem	䎂
Aem	䭋
Aem	䳈
Aem	䳰
Aem	䴐
Aem	堢
Aem	宝
Aem	宲
Aem	寚
Aem	寳
Aem	珤
Aem	緥
Aem	褴
Aem	賲
Aem	靌
Aem	饱
Aem	鸨
Aen	報
Aen	抱
Aen	暴
Aen	爆
Aen	豹
Aen	鮑
Aen	刨
Aen	趵
Aen	鉋
Aen	虣
Aen	鑤
Aen	儤
Aen	菢
Aen	煲
Aen	袌
Aen	嚗
Aen	犦
Aen	忁
Aen	㙸
Aen	㫧
Aen	㲒
Aen	䤖
Aen	勽
Aen	报
Aen	曓
Aen	铇
Aen	鲍
Ael	雹
Ael	薄
Ael	窇
Ael	瓝
Ael	㵡
Ael	㿺
Ael	䈏
Ael	䥤
Ael	䨌
Ael	䨔
Ael	䪨
Ael	嫑
Ad	背
Ad	杯
Ad	悲
Ad	卑
Ad	碑
Ad	俾
Ad	揹
Ad	偝
Ad	盃
Ad	裨
Ad	萆
Ad	桮
Ad	椑
Ad	伓
Ad	綼
Ad	鵯
Ad	藣
Ad	禆
Ad	錃
Ad	鹎
Adm	北
Adm	㤳
Adm	鉳
Adn	被
Adn	備
Adn	背
Adn	貝
Adn	輩
Adn	倍
Adn	臂
Adn	狽
Adn	憊
Adn	悖
Adn	孛
Adn	焙
Adn	蓓
Adn	褙
Adn	邶
Adn	琲
Adn	誖
Adn	鋇
Adn	哱
Adn	糒
Adn	梖
Adn	珼
Adn	鄁
Adn	牬
Adn	郥
Adn	犕
Adn	奰
Adn	㓈
Adn	㔨
Adn	㛝
Adn	㣁
Adn	㰆
Adn	㶔
Adn	㷶
Adn	㸢
Adn	㸬
Adn	㸽
Adn	㻗
Adn	㼎
Adn	㾱
Adn	䁅
Adn	䋳
Adn	䔒
Adn	䠙
Adn	䡶
Adn	䩀
Adn	䰽
Adn	俻
Adn	偹
Adn	僃
Adn	备
Adn	惫
Adn	愂
Adn	昁
Adn	狈
Adn	紴
Adn	贝
Adn	軰
Adn	辈
Adn	鐾
